gi,gj,lat,lon,n_species,score_raw,conservation_norm
164,-497,41.125,-124.125,0,0.00,0.00000
164,-496,41.125,-123.875,0,0.00,0.00000
164,-495,41.125,-123.625,0,0.00,0.00000
164,-494,41.125,-123.375,0,0.00,0.00000
164,-493,41.125,-123.125,0,0.00,0.00000
164,-492,41.125,-122.875,0,0.00,0.00000
164,-491,41.125,-122.625,0,0.00,0.00000
164,-490,41.125,-122.375,0,0.00,0.00000
164,-489,41.125,-122.125,0,0.00,0.00000
164,-488,41.125,-121.875,0,0.00,0.00000
164,-487,41.125,-121.625,0,0.00,0.00000
164,-486,41.125,-121.375,0,0.00,0.00000
164,-485,41.125,-121.125,0,0.00,0.00000
164,-484,41.125,-120.875,0,0.00,0.00000
164,-483,41.125,-120.625,0,0.00,0.00000
164,-482,41.125,-120.375,0,0.00,0.00000
164,-481,41.125,-120.125,0,0.00,0.00000
164,-480,41.125,-119.875,0,0.00,0.00000
164,-320,41.125,-79.875,0,0.00,0.00000
164,-319,41.125,-79.625,0,0.00,0.00000
164,-318,41.125,-79.375,0,0.00,0.00000
164,-317,41.125,-79.125,0,0.00,0.00000
164,-316,41.125,-78.875,0,0.00,0.00000
164,-315,41.125,-78.625,0,0.00,0.00000
164,-314,41.125,-78.375,0,0.00,0.00000
164,-313,41.125,-78.125,0,0.00,0.00000
164,-312,41.125,-77.875,0,0.00,0.00000
164,-311,41.125,-77.625,0,0.00,0.00000
164,-310,41.125,-77.375,0,0.00,0.00000
164,-309,41.125,-77.125,0,0.00,0.00000
164,-308,41.125,-76.875,0,0.00,0.00000
164,-307,41.125,-76.625,0,0.00,0.00000
164,-306,41.125,-76.375,0,0.00,0.00000
164,-305,41.125,-76.125,0,0.00,0.00000
164,-304,41.125,-75.875,0,0.00,0.00000
164,-303,41.125,-75.625,0,0.00,0.00000
164,-302,41.125,-75.375,0,0.00,0.00000
164,-301,41.125,-75.125,0,0.00,0.00000
164,-300,41.125,-74.875,0,0.00,0.00000
164,-299,41.125,-74.625,0,0.00,0.00000
164,-298,41.125,-74.375,0,0.00,0.00000
164,-297,41.125,-74.125,0,0.00,0.00000
164,-296,41.125,-73.875,0,0.00,0.00000
164,-295,41.125,-73.625,0,0.00,0.00000
164,-294,41.125,-73.375,0,0.00,0.00000
165,-496,41.375,-123.875,0,0.00,0.00000
165,-495,41.375,-123.625,0,0.00,0.00000
165,-494,41.375,-123.375,0,0.00,0.00000
165,-493,41.375,-123.125,0,0.00,0.00000
165,-492,41.375,-122.875,0,0.00,0.00000
165,-491,41.375,-122.625,0,0.00,0.00000
165,-490,41.375,-122.375,0,0.00,0.00000
165,-489,41.375,-122.125,0,0.00,0.00000
165,-488,41.375,-121.875,0,0.00,0.00000
165,-487,41.375,-121.625,0,0.00,0.00000
165,-486,41.375,-121.375,0,0.00,0.00000
165,-485,41.375,-121.125,0,0.00,0.00000
165,-484,41.375,-120.875,0,0.00,0.00000
165,-483,41.375,-120.625,0,0.00,0.00000
165,-482,41.375,-120.375,0,0.00,0.00000
165,-481,41.375,-120.125,0,0.00,0.00000
165,-480,41.375,-119.875,0,0.00,0.00000
165,-479,41.375,-119.625,0,0.00,0.00000
165,-478,41.375,-119.375,0,0.00,0.00000
165,-477,41.375,-119.125,0,0.00,0.00000
165,-476,41.375,-118.875,0,0.00,0.00000
165,-475,41.375,-118.625,0,0.00,0.00000
165,-474,41.375,-118.375,0,0.00,0.00000
165,-326,41.375,-81.375,0,0.00,0.00000
165,-325,41.375,-81.125,0,0.00,0.00000
165,-324,41.375,-80.875,0,0.00,0.00000
165,-323,41.375,-80.625,0,0.00,0.00000
165,-322,41.375,-80.375,0,0.00,0.00000
165,-321,41.375,-80.125,0,0.00,0.00000
165,-320,41.375,-79.875,0,0.00,0.00000
165,-319,41.375,-79.625,0,0.00,0.00000
165,-318,41.375,-79.375,0,0.00,0.00000
165,-317,41.375,-79.125,0,0.00,0.00000
165,-316,41.375,-78.875,0,0.00,0.00000
165,-315,41.375,-78.625,0,0.00,0.00000
165,-314,41.375,-78.375,0,0.00,0.00000
165,-313,41.375,-78.125,0,0.00,0.00000
165,-312,41.375,-77.875,0,0.00,0.00000
165,-311,41.375,-77.625,0,0.00,0.00000
165,-310,41.375,-77.375,0,0.00,0.00000
165,-309,41.375,-77.125,0,0.00,0.00000
165,-308,41.375,-76.875,0,0.00,0.00000
165,-307,41.375,-76.625,0,0.00,0.00000
165,-306,41.375,-76.375,0,0.00,0.00000
165,-305,41.375,-76.125,0,0.00,0.00000
165,-304,41.375,-75.875,0,0.00,0.00000
165,-303,41.375,-75.625,0,0.00,0.00000
165,-302,41.375,-75.375,0,0.00,0.00000
165,-301,41.375,-75.125,0,0.00,0.00000
165,-300,41.375,-74.875,0,0.00,0.00000
165,-299,41.375,-74.625,0,0.00,0.00000
165,-298,41.375,-74.375,0,0.00,0.00000
165,-297,41.375,-74.125,0,0.00,0.00000
165,-296,41.375,-73.875,0,0.00,0.00000
165,-295,41.375,-73.625,0,0.00,0.00000
165,-294,41.375,-73.375,0,0.00,0.00000
165,-293,41.375,-73.125,0,0.00,0.00000
165,-292,41.375,-72.875,0,0.00,0.00000
165,-291,41.375,-72.625,0,0.00,0.00000
165,-290,41.375,-72.375,0,0.00,0.00000
165,-289,41.375,-72.125,0,0.00,0.00000
165,-288,41.375,-71.875,0,0.00,0.00000
165,-287,41.375,-71.625,0,0.00,0.00000
165,-283,41.375,-70.625,0,0.00,0.00000
166,-496,41.625,-123.875,0,0.00,0.00000
166,-495,41.625,-123.625,0,0.00,0.00000
166,-494,41.625,-123.375,0,0.00,0.00000
166,-493,41.625,-123.125,0,0.00,0.00000
166,-492,41.625,-122.875,0,0.00,0.00000
166,-491,41.625,-122.625,0,0.00,0.00000
166,-490,41.625,-122.375,0,0.00,0.00000
166,-489,41.625,-122.125,0,0.00,0.00000
166,-488,41.625,-121.875,0,0.00,0.00000
166,-487,41.625,-121.625,0,0.00,0.00000
166,-486,41.625,-121.375,0,0.00,0.00000
166,-485,41.625,-121.125,0,0.00,0.00000
166,-484,41.625,-120.875,0,0.00,0.00000
166,-483,41.625,-120.625,0,0.00,0.00000
166,-482,41.625,-120.375,0,0.00,0.00000
166,-481,41.625,-120.125,0,0.00,0.00000
166,-480,41.625,-119.875,0,0.00,0.00000
166,-479,41.625,-119.625,0,0.00,0.00000
166,-478,41.625,-119.375,0,0.00,0.00000
166,-477,41.625,-119.125,0,0.00,0.00000
166,-476,41.625,-118.875,0,0.00,0.00000
166,-475,41.625,-118.625,0,0.00,0.00000
166,-474,41.625,-118.375,0,0.00,0.00000
166,-473,41.625,-118.125,0,0.00,0.00000
166,-472,41.625,-117.875,0,0.00,0.00000
166,-471,41.625,-117.625,0,0.00,0.00000
166,-470,41.625,-117.375,0,0.00,0.00000
166,-469,41.625,-117.125,0,0.00,0.00000
166,-468,41.625,-116.875,0,0.00,0.00000
166,-332,41.625,-82.875,10,22.00,0.16541
166,-331,41.625,-82.625,33,79.00,0.59398
166,-329,41.625,-82.125,0,0.00,0.00000
166,-328,41.625,-81.875,0,0.00,0.00000
166,-327,41.625,-81.625,0,0.00,0.00000
166,-326,41.625,-81.375,0,0.00,0.00000
166,-325,41.625,-81.125,0,0.00,0.00000
166,-324,41.625,-80.875,0,0.00,0.00000
166,-323,41.625,-80.625,0,0.00,0.00000
166,-322,41.625,-80.375,0,0.00,0.00000
166,-321,41.625,-80.125,0,0.00,0.00000
166,-320,41.625,-79.875,0,0.00,0.00000
166,-319,41.625,-79.625,0,0.00,0.00000
166,-318,41.625,-79.375,0,0.00,0.00000
166,-317,41.625,-79.125,0,0.00,0.00000
166,-316,41.625,-78.875,0,0.00,0.00000
166,-315,41.625,-78.625,0,0.00,0.00000
166,-314,41.625,-78.375,0,0.00,0.00000
166,-313,41.625,-78.125,0,0.00,0.00000
166,-312,41.625,-77.875,0,0.00,0.00000
166,-311,41.625,-77.625,0,0.00,0.00000
166,-310,41.625,-77.375,0,0.00,0.00000
166,-309,41.625,-77.125,0,0.00,0.00000
166,-308,41.625,-76.875,0,0.00,0.00000
166,-307,41.625,-76.625,0,0.00,0.00000
166,-306,41.625,-76.375,0,0.00,0.00000
166,-305,41.625,-76.125,0,0.00,0.00000
166,-304,41.625,-75.875,0,0.00,0.00000
166,-303,41.625,-75.625,0,0.00,0.00000
166,-302,41.625,-75.375,0,0.00,0.00000
166,-301,41.625,-75.125,0,0.00,0.00000
166,-300,41.625,-74.875,0,0.00,0.00000
166,-299,41.625,-74.625,0,0.00,0.00000
166,-298,41.625,-74.375,0,0.00,0.00000
166,-297,41.625,-74.125,0,0.00,0.00000
166,-296,41.625,-73.875,0,0.00,0.00000
166,-295,41.625,-73.625,0,0.00,0.00000
166,-294,41.625,-73.375,0,0.00,0.00000
166,-293,41.625,-73.125,0,0.00,0.00000
166,-292,41.625,-72.875,0,0.00,0.00000
166,-291,41.625,-72.625,0,0.00,0.00000
166,-290,41.625,-72.375,0,0.00,0.00000
166,-289,41.625,-72.125,0,0.00,0.00000
166,-288,41.625,-71.875,0,0.00,0.00000
166,-287,41.625,-71.625,0,0.00,0.00000
166,-285,41.625,-71.125,0,0.00,0.00000
166,-284,41.625,-70.875,0,0.00,0.00000
166,-283,41.625,-70.625,0,0.00,0.00000
167,-497,41.875,-124.125,0,0.00,0.00000
167,-496,41.875,-123.875,0,0.00,0.00000
167,-495,41.875,-123.625,0,0.00,0.00000
167,-494,41.875,-123.375,0,0.00,0.00000
167,-493,41.875,-123.125,0,0.00,0.00000
167,-492,41.875,-122.875,0,0.00,0.00000
167,-491,41.875,-122.625,0,0.00,0.00000
167,-490,41.875,-122.375,0,0.00,0.00000
167,-489,41.875,-122.125,0,0.00,0.00000
167,-488,41.875,-121.875,0,0.00,0.00000
167,-487,41.875,-121.625,0,0.00,0.00000
167,-486,41.875,-121.375,0,0.00,0.00000
167,-485,41.875,-121.125,0,0.00,0.00000
167,-484,41.875,-120.875,0,0.00,0.00000
167,-483,41.875,-120.625,0,0.00,0.00000
167,-482,41.875,-120.375,0,0.00,0.00000
167,-481,41.875,-120.125,0,0.00,0.00000
167,-480,41.875,-119.875,0,0.00,0.00000
167,-479,41.875,-119.625,0,0.00,0.00000
167,-478,41.875,-119.375,0,0.00,0.00000
167,-477,41.875,-119.125,0,0.00,0.00000
167,-476,41.875,-118.875,0,0.00,0.00000
167,-475,41.875,-118.625,0,0.00,0.00000
167,-474,41.875,-118.375,0,0.00,0.00000
167,-473,41.875,-118.125,0,0.00,0.00000
167,-472,41.875,-117.875,0,0.00,0.00000
167,-471,41.875,-117.625,0,0.00,0.00000
167,-470,41.875,-117.375,0,0.00,0.00000
167,-469,41.875,-117.125,0,0.00,0.00000
167,-468,41.875,-116.875,0,0.00,0.00000
167,-467,41.875,-116.625,0,0.00,0.00000
167,-466,41.875,-116.375,0,0.00,0.00000
167,-465,41.875,-116.125,0,0.00,0.00000
167,-464,41.875,-115.875,0,0.00,0.00000
167,-463,41.875,-115.625,0,0.00,0.00000
167,-462,41.875,-115.375,0,0.00,0.00000
167,-461,41.875,-115.125,0,0.00,0.00000
167,-339,41.875,-84.625,0,0.00,0.00000
167,-338,41.875,-84.375,0,0.00,0.00000
167,-337,41.875,-84.125,0,0.00,0.00000
167,-336,41.875,-83.875,0,0.00,0.00000
167,-335,41.875,-83.625,0,0.00,0.00000
167,-334,41.875,-83.375,0,0.00,0.00000
167,-333,41.875,-83.125,2,3.00,0.02256
167,-332,41.875,-82.875,14,34.00,0.25564
167,-331,41.875,-82.625,60,133.00,1.00000
167,-326,41.875,-81.375,0,0.00,0.00000
167,-325,41.875,-81.125,0,0.00,0.00000
167,-324,41.875,-80.875,0,0.00,0.00000
167,-323,41.875,-80.625,0,0.00,0.00000
167,-322,41.875,-80.375,0,0.00,0.00000
167,-321,41.875,-80.125,0,0.00,0.00000
167,-320,41.875,-79.875,0,0.00,0.00000
167,-319,41.875,-79.625,0,0.00,0.00000
167,-318,41.875,-79.375,0,0.00,0.00000
167,-317,41.875,-79.125,0,0.00,0.00000
167,-316,41.875,-78.875,0,0.00,0.00000
167,-315,41.875,-78.625,0,0.00,0.00000
167,-314,41.875,-78.375,0,0.00,0.00000
167,-313,41.875,-78.125,0,0.00,0.00000
167,-312,41.875,-77.875,0,0.00,0.00000
167,-311,41.875,-77.625,0,0.00,0.00000
167,-310,41.875,-77.375,0,0.00,0.00000
167,-309,41.875,-77.125,0,0.00,0.00000
167,-308,41.875,-76.875,0,0.00,0.00000
167,-307,41.875,-76.625,0,0.00,0.00000
167,-306,41.875,-76.375,0,0.00,0.00000
167,-305,41.875,-76.125,0,0.00,0.00000
167,-304,41.875,-75.875,0,0.00,0.00000
167,-303,41.875,-75.625,0,0.00,0.00000
167,-302,41.875,-75.375,0,0.00,0.00000
167,-301,41.875,-75.125,0,0.00,0.00000
167,-300,41.875,-74.875,0,0.00,0.00000
167,-299,41.875,-74.625,0,0.00,0.00000
167,-298,41.875,-74.375,0,0.00,0.00000
167,-297,41.875,-74.125,0,0.00,0.00000
167,-296,41.875,-73.875,0,0.00,0.00000
167,-295,41.875,-73.625,0,0.00,0.00000
167,-294,41.875,-73.375,0,0.00,0.00000
167,-293,41.875,-73.125,0,0.00,0.00000
167,-292,41.875,-72.875,0,0.00,0.00000
167,-291,41.875,-72.625,0,0.00,0.00000
167,-290,41.875,-72.375,0,0.00,0.00000
167,-289,41.875,-72.125,0,0.00,0.00000
167,-288,41.875,-71.875,0,0.00,0.00000
167,-287,41.875,-71.625,0,0.00,0.00000
167,-286,41.875,-71.375,0,0.00,0.00000
167,-285,41.875,-71.125,0,0.00,0.00000
167,-284,41.875,-70.875,0,0.00,0.00000
167,-283,41.875,-70.625,0,0.00,0.00000
168,-497,42.125,-124.125,0,0.00,0.00000
168,-496,42.125,-123.875,0,0.00,0.00000
168,-495,42.125,-123.625,0,0.00,0.00000
168,-494,42.125,-123.375,0,0.00,0.00000
168,-493,42.125,-123.125,0,0.00,0.00000
168,-492,42.125,-122.875,0,0.00,0.00000
168,-491,42.125,-122.625,0,0.00,0.00000
168,-490,42.125,-122.375,0,0.00,0.00000
168,-489,42.125,-122.125,0,0.00,0.00000
168,-488,42.125,-121.875,0,0.00,0.00000
168,-487,42.125,-121.625,0,0.00,0.00000
168,-486,42.125,-121.375,0,0.00,0.00000
168,-485,42.125,-121.125,0,0.00,0.00000
168,-484,42.125,-120.875,0,0.00,0.00000
168,-483,42.125,-120.625,0,0.00,0.00000
168,-482,42.125,-120.375,0,0.00,0.00000
168,-481,42.125,-120.125,0,0.00,0.00000
168,-480,42.125,-119.875,0,0.00,0.00000
168,-479,42.125,-119.625,0,0.00,0.00000
168,-478,42.125,-119.375,0,0.00,0.00000
168,-477,42.125,-119.125,0,0.00,0.00000
168,-476,42.125,-118.875,0,0.00,0.00000
168,-475,42.125,-118.625,0,0.00,0.00000
168,-474,42.125,-118.375,0,0.00,0.00000
168,-473,42.125,-118.125,0,0.00,0.00000
168,-472,42.125,-117.875,0,0.00,0.00000
168,-471,42.125,-117.625,0,0.00,0.00000
168,-470,42.125,-117.375,0,0.00,0.00000
168,-469,42.125,-117.125,0,0.00,0.00000
168,-468,42.125,-116.875,0,0.00,0.00000
168,-467,42.125,-116.625,0,0.00,0.00000
168,-466,42.125,-116.375,0,0.00,0.00000
168,-465,42.125,-116.125,0,0.00,0.00000
168,-464,42.125,-115.875,0,0.00,0.00000
168,-463,42.125,-115.625,0,0.00,0.00000
168,-462,42.125,-115.375,0,0.00,0.00000
168,-461,42.125,-115.125,0,0.00,0.00000
168,-460,42.125,-114.875,0,0.00,0.00000
168,-459,42.125,-114.625,0,0.00,0.00000
168,-458,42.125,-114.375,0,0.00,0.00000
168,-457,42.125,-114.125,0,0.00,0.00000
168,-456,42.125,-113.875,0,0.00,0.00000
168,-455,42.125,-113.625,0,0.00,0.00000
168,-454,42.125,-113.375,0,0.00,0.00000
168,-453,42.125,-113.125,0,0.00,0.00000
168,-347,42.125,-86.625,0,0.00,0.00000
168,-346,42.125,-86.375,0,0.00,0.00000
168,-345,42.125,-86.125,0,0.00,0.00000
168,-344,42.125,-85.875,0,0.00,0.00000
168,-343,42.125,-85.625,0,0.00,0.00000
168,-342,42.125,-85.375,0,0.00,0.00000
168,-341,42.125,-85.125,0,0.00,0.00000
168,-340,42.125,-84.875,0,0.00,0.00000
168,-339,42.125,-84.625,0,0.00,0.00000
168,-338,42.125,-84.375,0,0.00,0.00000
168,-337,42.125,-84.125,0,0.00,0.00000
168,-336,42.125,-83.875,0,0.00,0.00000
168,-335,42.125,-83.625,0,0.00,0.00000
168,-334,42.125,-83.375,0,0.00,0.00000
168,-333,42.125,-83.125,39,86.00,0.64662
168,-332,42.125,-82.875,27,54.00,0.40602
168,-331,42.125,-82.625,37,78.00,0.58647
168,-330,42.125,-82.375,33,68.00,0.51128
168,-329,42.125,-82.125,6,10.00,0.07519
168,-322,42.125,-80.375,0,0.00,0.00000
168,-321,42.125,-80.125,0,0.00,0.00000
168,-320,42.125,-79.875,0,0.00,0.00000
168,-319,42.125,-79.625,0,0.00,0.00000
168,-318,42.125,-79.375,0,0.00,0.00000
168,-317,42.125,-79.125,0,0.00,0.00000
168,-316,42.125,-78.875,0,0.00,0.00000
168,-315,42.125,-78.625,0,0.00,0.00000
168,-314,42.125,-78.375,0,0.00,0.00000
168,-313,42.125,-78.125,0,0.00,0.00000
168,-312,42.125,-77.875,0,0.00,0.00000
168,-311,42.125,-77.625,0,0.00,0.00000
168,-310,42.125,-77.375,0,0.00,0.00000
168,-309,42.125,-77.125,0,0.00,0.00000
168,-308,42.125,-76.875,0,0.00,0.00000
168,-307,42.125,-76.625,0,0.00,0.00000
168,-306,42.125,-76.375,0,0.00,0.00000
168,-305,42.125,-76.125,0,0.00,0.00000
168,-304,42.125,-75.875,0,0.00,0.00000
168,-303,42.125,-75.625,0,0.00,0.00000
168,-302,42.125,-75.375,0,0.00,0.00000
168,-301,42.125,-75.125,0,0.00,0.00000
168,-300,42.125,-74.875,0,0.00,0.00000
168,-299,42.125,-74.625,0,0.00,0.00000
168,-298,42.125,-74.375,0,0.00,0.00000
168,-297,42.125,-74.125,0,0.00,0.00000
168,-296,42.125,-73.875,0,0.00,0.00000
168,-295,42.125,-73.625,0,0.00,0.00000
168,-294,42.125,-73.375,0,0.00,0.00000
168,-293,42.125,-73.125,0,0.00,0.00000
168,-292,42.125,-72.875,0,0.00,0.00000
168,-291,42.125,-72.625,0,0.00,0.00000
168,-290,42.125,-72.375,0,0.00,0.00000
168,-289,42.125,-72.125,0,0.00,0.00000
168,-288,42.125,-71.875,0,0.00,0.00000
168,-287,42.125,-71.625,0,0.00,0.00000
168,-286,42.125,-71.375,0,0.00,0.00000
168,-285,42.125,-71.125,0,0.00,0.00000
168,-284,42.125,-70.875,0,0.00,0.00000
169,-498,42.375,-124.375,0,0.00,0.00000
169,-497,42.375,-124.125,0,0.00,0.00000
169,-496,42.375,-123.875,0,0.00,0.00000
169,-495,42.375,-123.625,0,0.00,0.00000
169,-494,42.375,-123.375,0,0.00,0.00000
169,-493,42.375,-123.125,0,0.00,0.00000
169,-492,42.375,-122.875,0,0.00,0.00000
169,-491,42.375,-122.625,0,0.00,0.00000
169,-490,42.375,-122.375,0,0.00,0.00000
169,-489,42.375,-122.125,0,0.00,0.00000
169,-488,42.375,-121.875,0,0.00,0.00000
169,-487,42.375,-121.625,0,0.00,0.00000
169,-486,42.375,-121.375,0,0.00,0.00000
169,-485,42.375,-121.125,0,0.00,0.00000
169,-484,42.375,-120.875,0,0.00,0.00000
169,-483,42.375,-120.625,0,0.00,0.00000
169,-482,42.375,-120.375,0,0.00,0.00000
169,-481,42.375,-120.125,0,0.00,0.00000
169,-480,42.375,-119.875,0,0.00,0.00000
169,-479,42.375,-119.625,0,0.00,0.00000
169,-478,42.375,-119.375,0,0.00,0.00000
169,-477,42.375,-119.125,0,0.00,0.00000
169,-476,42.375,-118.875,0,0.00,0.00000
169,-475,42.375,-118.625,0,0.00,0.00000
169,-474,42.375,-118.375,0,0.00,0.00000
169,-473,42.375,-118.125,0,0.00,0.00000
169,-472,42.375,-117.875,0,0.00,0.00000
169,-471,42.375,-117.625,0,0.00,0.00000
169,-470,42.375,-117.375,0,0.00,0.00000
169,-469,42.375,-117.125,0,0.00,0.00000
169,-468,42.375,-116.875,0,0.00,0.00000
169,-467,42.375,-116.625,0,0.00,0.00000
169,-466,42.375,-116.375,0,0.00,0.00000
169,-465,42.375,-116.125,0,0.00,0.00000
169,-464,42.375,-115.875,0,0.00,0.00000
169,-463,42.375,-115.625,0,0.00,0.00000
169,-462,42.375,-115.375,0,0.00,0.00000
169,-461,42.375,-115.125,0,0.00,0.00000
169,-460,42.375,-114.875,0,0.00,0.00000
169,-459,42.375,-114.625,0,0.00,0.00000
169,-458,42.375,-114.375,0,0.00,0.00000
169,-457,42.375,-114.125,0,0.00,0.00000
169,-456,42.375,-113.875,0,0.00,0.00000
169,-455,42.375,-113.625,0,0.00,0.00000
169,-454,42.375,-113.375,0,0.00,0.00000
169,-453,42.375,-113.125,0,0.00,0.00000
169,-452,42.375,-112.875,0,0.00,0.00000
169,-451,42.375,-112.625,0,0.00,0.00000
169,-450,42.375,-112.375,0,0.00,0.00000
169,-449,42.375,-112.125,0,0.00,0.00000
169,-448,42.375,-111.875,0,0.00,0.00000
169,-447,42.375,-111.625,0,0.00,0.00000
169,-446,42.375,-111.375,0,0.00,0.00000
169,-445,42.375,-111.125,0,0.00,0.00000
169,-444,42.375,-110.875,0,0.00,0.00000
169,-356,42.375,-88.875,0,0.00,0.00000
169,-355,42.375,-88.625,0,0.00,0.00000
169,-354,42.375,-88.375,0,0.00,0.00000
169,-353,42.375,-88.125,0,0.00,0.00000
169,-352,42.375,-87.875,0,0.00,0.00000
169,-346,42.375,-86.375,0,0.00,0.00000
169,-345,42.375,-86.125,0,0.00,0.00000
169,-344,42.375,-85.875,0,0.00,0.00000
169,-343,42.375,-85.625,0,0.00,0.00000
169,-342,42.375,-85.375,0,0.00,0.00000
169,-341,42.375,-85.125,0,0.00,0.00000
169,-340,42.375,-84.875,0,0.00,0.00000
169,-339,42.375,-84.625,0,0.00,0.00000
169,-338,42.375,-84.375,0,0.00,0.00000
169,-337,42.375,-84.125,0,0.00,0.00000
169,-336,42.375,-83.875,0,0.00,0.00000
169,-335,42.375,-83.625,0,0.00,0.00000
169,-334,42.375,-83.375,0,0.00,0.00000
169,-333,42.375,-83.125,33,69.00,0.51880
169,-332,42.375,-82.875,14,31.00,0.23308
169,-331,42.375,-82.625,21,46.00,0.34586
169,-330,42.375,-82.375,25,55.00,0.41353
169,-329,42.375,-82.125,25,50.00,0.37594
169,-328,42.375,-81.875,49,107.00,0.80451
169,-327,42.375,-81.625,8,17.00,0.12782
169,-320,42.375,-79.875,0,0.00,0.00000
169,-319,42.375,-79.625,0,0.00,0.00000
169,-318,42.375,-79.375,0,0.00,0.00000
169,-317,42.375,-79.125,0,0.00,0.00000
169,-316,42.375,-78.875,0,0.00,0.00000
169,-315,42.375,-78.625,0,0.00,0.00000
169,-314,42.375,-78.375,0,0.00,0.00000
169,-313,42.375,-78.125,0,0.00,0.00000
169,-312,42.375,-77.875,0,0.00,0.00000
169,-311,42.375,-77.625,0,0.00,0.00000
169,-310,42.375,-77.375,0,0.00,0.00000
169,-309,42.375,-77.125,0,0.00,0.00000
169,-308,42.375,-76.875,0,0.00,0.00000
169,-307,42.375,-76.625,0,0.00,0.00000
169,-306,42.375,-76.375,0,0.00,0.00000
169,-305,42.375,-76.125,0,0.00,0.00000
169,-304,42.375,-75.875,0,0.00,0.00000
169,-303,42.375,-75.625,0,0.00,0.00000
169,-302,42.375,-75.375,0,0.00,0.00000
169,-301,42.375,-75.125,0,0.00,0.00000
169,-300,42.375,-74.875,0,0.00,0.00000
169,-299,42.375,-74.625,0,0.00,0.00000
169,-298,42.375,-74.375,0,0.00,0.00000
169,-297,42.375,-74.125,0,0.00,0.00000
169,-296,42.375,-73.875,0,0.00,0.00000
169,-295,42.375,-73.625,0,0.00,0.00000
169,-294,42.375,-73.375,0,0.00,0.00000
169,-293,42.375,-73.125,0,0.00,0.00000
169,-292,42.375,-72.875,0,0.00,0.00000
169,-291,42.375,-72.625,0,0.00,0.00000
