gi,gj,lat,lon,n_all,n_recent,staleness_norm
164,-502,41.125,-125.375,8,7,0.00000
164,-501,41.125,-125.125,12,7,0.00000
164,-500,41.125,-124.875,5,4,0.00000
164,-499,41.125,-124.625,4,4,0.00000
164,-498,41.125,-124.375,23,14,0.16951
164,-497,41.125,-124.125,42231,33146,0.31232
164,-496,41.125,-123.875,3560,2849,0.22263
164,-495,41.125,-123.625,1370,1050,0.22998
164,-494,41.125,-123.375,495,344,0.25807
164,-493,41.125,-123.125,937,448,0.48684
164,-492,41.125,-122.875,2931,1977,0.35420
164,-491,41.125,-122.625,3211,2393,0.28039
164,-490,41.125,-122.375,7654,5991,0.26486
164,-489,41.125,-122.125,2349,1736,0.27611
164,-488,41.125,-121.875,879,623,0.26915
164,-487,41.125,-121.625,4622,4071,0.13713
164,-486,41.125,-121.375,1962,1516,0.23494
164,-485,41.125,-121.125,351,258,0.21177
164,-484,41.125,-120.875,418,274,0.28352
164,-483,41.125,-120.625,284,225,0.16006
164,-482,41.125,-120.375,571,366,0.31071
164,-481,41.125,-120.125,594,501,0.13634
164,-480,41.125,-119.875,336,302,0.08028
164,-479,41.125,-119.625,366,349,0.03739
164,-478,41.125,-119.375,447,415,0.05957
164,-477,41.125,-119.125,108,90,0.10658
164,-476,41.125,-118.875,11,9,0.00000
164,-475,41.125,-118.625,41,26,0.18639
164,-474,41.125,-118.375,13,2,0.00000
164,-473,41.125,-118.125,2,0,0.00000
164,-472,41.125,-117.875,87,78,0.06313
164,-471,41.125,-117.625,161,127,0.14645
164,-470,41.125,-117.375,47,47,0.00000
164,-469,41.125,-117.125,1,1,0.00000
164,-468,41.125,-116.875,22,22,0.00000
164,-467,41.125,-116.625,20,19,0.02075
164,-466,41.125,-116.375,31,29,0.03048
164,-465,41.125,-116.125,18,16,0.00000
164,-464,41.125,-115.875,14,13,0.00000
164,-463,41.125,-115.625,12,10,0.00000
164,-462,41.125,-115.375,43,31,0.14395
164,-461,41.125,-115.125,837,725,0.12277
164,-460,41.125,-114.875,222,173,0.16268
164,-459,41.125,-114.625,170,148,0.09070
164,-458,41.125,-114.375,148,128,0.09217
164,-457,41.125,-114.125,50,23,0.28941
164,-456,41.125,-113.875,50,36,0.15006
164,-454,41.125,-113.375,50,47,0.03216
164,-453,41.125,-113.125,21,21,0.00000
