id,lon,lat,observed_on,created_at,quality_grade,ident_count,agree,taxon_id,rank
371477296,-114.1144861667,50.9640616667,2025-07-08,2026-06-13T21:58:38-06:00,needs_id,0,0,60839,species
371298467,-119.4298633333,49.7610883333,2025-07-02,2026-06-13T10:40:08-07:00,needs_id,0,0,52775,genus
371298222,-119.4298633333,49.7610866667,2025-07-02,2026-06-13T10:39:22-07:00,needs_id,0,0,52775,genus
371293243,-123.516697103,48.41388103,2025-08-27,2026-06-13T10:24:30-07:00,needs_id,0,0,61917,species
371259730,-123.4980931859,48.4263442769,2025-07-21,2026-06-13T08:48:59-07:00,needs_id,0,0,133761,species
371235248,-123.5538730176,48.4576419168,2025-08-03,2026-06-13T07:35:59-07:00,needs_id,0,0,630955,epifamily
371235205,-123.5538850208,48.4576269408,2025-08-03,2026-06-13T07:35:53-07:00,needs_id,0,0,53072,species
371234522,-117.5347385571,51.2603163006,2025-07-28,2026-06-13T07:34:10-07:00,needs_id,0,0,1360310,species
371234516,-117.5237522289,51.2698575439,2025-07-28,2026-06-13T07:34:09-07:00,needs_id,0,0,52943,species
371234515,-117.5281322108,51.2580142353,2025-07-28,2026-06-13T07:34:09-07:00,needs_id,0,0,1510820,species
371227185,-115.5136714517,51.2277501541,2025-07-30,2026-06-13T08:11:12-06:00,needs_id,1,1,520398,species
371227167,-115.5135033476,51.227728749,2025-07-31,2026-06-13T08:11:09-06:00,needs_id,0,0,194027,species
371224961,-116.2101993447,51.3260855959,2025-08-01,2026-06-13T08:03:26-06:00,needs_id,0,0,235381,species
371224956,-116.2074549577,51.3265001834,2025-08-01,2026-06-13T08:03:25-06:00,needs_id,0,0,235381,species
371135537,-123.4684497726,48.4321140207,2025-08-22,2026-06-13T00:06:59-07:00,needs_id,0,0,69309,species
370970494,-124.9626471356,49.7110612967,2025-07-16,2026-06-12T11:09:43-07:00,needs_id,1,1,301229,species
370837646,-123.5174242975,48.4136966314,2025-07-31,2026-06-11T23:47:39-07:00,needs_id,0,0,177196,genus
370834978,-122.2628633333,49.0709333333,2025-06-21,2026-06-11T23:22:31-07:00,needs_id,0,0,60839,species
370834935,-122.4434366667,49.100425,2025-06-28,2026-06-11T23:22:10-07:00,needs_id,0,0,56189,species
370834880,-122.4435416667,49.1005333333,2025-07-03,2026-06-11T23:21:37-07:00,needs_id,0,0,127431,species
370834766,-122.25917,49.0681333333,2025-08-16,2026-06-11T23:20:40-07:00,needs_id,0,0,335030,species
370808893,-122.9840466667,49.2229,2025-08-22,2026-06-11T20:08:22-07:00,needs_id,0,0,471331,subfamily
370808714,-119.6392833333,49.5832883333,2025-08-27,2026-06-11T20:07:17-07:00,needs_id,0,0,327623,species
370808681,-119.6393133333,49.5833366667,2025-08-27,2026-06-11T20:07:04-07:00,needs_id,0,0,47157,order
370682785,-121.9422088452,50.6717687032,2025-09-27,2026-06-11T10:49:18-07:00,needs_id,0,0,1028452,species
370682731,-123.136667821,49.2173899156,2025-09-20,2026-06-11T10:49:03-07:00,needs_id,0,0,121823,species
370640161,-118.1683135165,50.9530746979,2025-09-10,2026-06-11T08:01:14-07:00,needs_id,0,0,334614,species
370547081,-123.5161641023,48.4140466208,2025-07-31,2026-06-10T22:20:26-07:00,needs_id,0,0,60039,species
370345522,-123.5288983312,48.4453215389,2025-07-23,2026-06-10T08:18:41-07:00,needs_id,0,0,47226,species
370235181,-119.2339025124,53.0318026983,2025-08-23,2026-06-09T21:30:04-07:00,needs_id,0,0,1611439,species
369907468,-123.5023729548,48.4885664467,2025-07-05,2026-06-08T19:27:42-07:00,needs_id,0,0,143036,species
369905900,-123.4147278254,48.6207870965,2025-07-04,2026-06-08T19:19:54-07:00,needs_id,0,0,475565,subspecies
369885453,-130.3290688095,54.3110253342,2025-09-23,2026-06-08T17:48:28-07:00,needs_id,0,0,130508,species
369709441,-117.5918883333,49.0793083333,2025-09-28,2026-06-08T07:32:45-07:00,needs_id,0,0,68864,genus
369709358,-117.8081283333,49.0755221667,2025-09-19,2026-06-08T07:32:26-07:00,needs_id,0,0,128670,species
369709171,-117.815405,49.0777666667,2025-08-11,2026-06-08T07:31:51-07:00,needs_id,0,0,489433,species
369708341,-117.7097383333,49.0971055,2025-07-02,2026-06-08T07:28:45-07:00,needs_id,0,0,311080,species
369708292,-117.3908083333,49.2624133333,2025-07-05,2026-06-08T07:28:38-07:00,needs_id,0,0,332243,species
369708224,-117.7881383333,49.0188,2025-07-16,2026-06-08T07:28:26-07:00,needs_id,0,0,69732,species
369708195,-119.3411938199,49.9668979265,2025-07-24,2026-06-08T07:28:20-07:00,needs_id,0,0,1597678,subtribe
369526725,-123.1621778333,49.6714616667,2025-07-14,2026-06-07T16:24:12-07:00,needs_id,0,0,142269,species
369231284,-123.5672916384,48.8778870716,2025-06-13,2026-06-06T23:56:10-07:00,needs_id,0,0,212878,species
369217958,-123.5915846146,48.8671558899,2025-06-09,2026-06-06T22:30:58-07:00,needs_id,0,0,218436,species
369217460,-123.5546799752,48.9654072868,2025-06-10,2026-06-06T22:27:14-07:00,needs_id,0,0,337951,species
369216255,-123.4861252392,48.919830174,2025-06-09,2026-06-06T22:18:58-07:00,needs_id,0,0,202578,species
369124953,-114.2429225519,50.8648054502,2025-08-02,2026-06-06T16:26:31-06:00,needs_id,1,1,127812,genus
369069370,-123.5928112106,48.8848040799,2025-06-09,2026-06-06T12:29:30-07:00,needs_id,0,0,81692,species
369053760,-114.0795179923,51.1643987704,2025-07-13,2026-06-06T12:46:29-06:00,needs_id,0,0,1430395,species
369053612,-114.0509036904,51.1614314472,2025-07-13,2026-06-06T12:46:08-06:00,needs_id,3,2,244834,subfamily
369053542,-114.0998692991,51.10308358,2025-07-16,2026-06-06T12:45:54-06:00,needs_id,0,0,204626,species
369053435,-114.1663559676,51.1963031285,2025-07-17,2026-06-06T12:45:33-06:00,needs_id,0,0,147946,tribe
369032976,-123.8565369173,48.5831854728,2025-06-13,2026-06-06T10:47:34-07:00,needs_id,0,0,55407,genus
