id,lon,lat,observed_on,created_at,quality_grade,ident_count,agree,taxon_id,rank
371267858,-123.5371653398,48.4825551891,2025-09-02,2026-06-13T09:13:16-07:00,needs_id,0,0,28398,species
369836901,-123.291647757,49.3724030197,2025-08-28,2026-06-08T14:30:06-07:00,needs_id,1,1,28398,species
369836876,-123.2916655504,49.372400071,2025-08-28,2026-06-08T14:30:00-07:00,needs_id,1,1,28398,species
368647188,-122.6144333997,54.0088065997,2025-06-16,2026-06-05T07:47:29-07:00,needs_id,3,2,28339,genus
365869744,-123.1033856633,49.2796040016,2025-07-27,2026-05-27T15:17:37-07:00,needs_id,0,0,39532,order
362074791,-124.920874142,49.3344836246,2025-09-24,2026-05-16T10:46:11-07:00,needs_id,1,1,28362,species
361875009,-119.4310718913,49.8731869029,2025-06-28,2026-05-15T19:18:47-07:00,needs_id,0,0,39532,order
361047279,-119.5738966667,49.5858216667,2025-08-21,2026-05-12T19:05:30-07:00,needs_id,0,0,28339,genus
360919217,-122.9769545997,50.1441440997,2025-09-02,2026-05-12T10:08:04-07:00,needs_id,1,1,32064,species
359415245,-122.7891115791,49.2856947966,2025-06-10,2026-05-07T20:49:21-07:00,needs_id,0,0,39760,family
357086266,-125.0304255533,49.6179334516,2025-07-11,2026-04-30T23:18:36-07:00,needs_id,0,0,28389,species
356133679,-122.7485416667,53.8526216667,2025-07-12,2026-04-28T09:05:53-07:00,needs_id,2,2,28362,species
355955830,-123.289925,49.3712616667,2025-09-04,2026-04-27T22:28:23-07:00,needs_id,0,0,28398,species
351833469,-124.9337384164,49.3449075907,2025-09-12,2026-04-21T15:04:19-07:00,needs_id,1,1,28362,species
349632227,-123.9236533333,49.1616,2025-08-25,2026-04-13T15:17:59-07:00,needs_id,2,2,28339,genus
349632204,-123.9233925753,49.1614822392,2025-08-25,2026-04-13T15:17:52-07:00,needs_id,0,0,28362,species
349594641,-123.1437765571,49.2963727162,2025-08-20,2026-04-13T12:40:04-07:00,needs_id,0,0,797544,subfamily
342875420,-125.5475048348,50.2202582042,2025-07-30,2026-03-14T01:55:47-07:00,needs_id,0,0,28389,species
342391364,-124.0820065,49.1960181,2025-09-02,2026-03-11T01:06:03-07:00,needs_id,1,1,28363,subspecies
338053457,-119.2831333333,50.7063916667,2025-08-12,2026-02-10T00:51:45-08:00,needs_id,3,3,39760,family
335750294,-123.3013406256,48.4411468853,2025-07-07,2026-01-22T12:48:33-08:00,needs_id,1,1,28389,species
326812111,-123.80378,49.489045,2025-08-22,2025-11-16T08:48:28-08:00,needs_id,1,1,28362,species
325516438,-124.640266,51.871964,2025-08-23,2025-11-08T08:50:09-08:00,needs_id,2,2,28339,genus
